Name;Platform;Year_of_Release;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;"Rating;";;;
Home Run King;GC;2002;Sports;Sega;0.09;0.02;0;0;0.11;66;18;;;"E;";;;
Hot Wheels Velocity X;GC;2002;Racing;THQ;0.09;0.02;0;0;0.11;55;4;6.4;5;"E;";;;
Hot Wheels World Race;GC;2003;Racing;THQ;0.13;0.03;0;0;0.16;59;5;7;5;"E;";;;
Hulk;GC;2003;Action;Universal Interactive;0.15;0.04;0;0.01;0.19;71;26;7.4;7;"T;";;;
Hunter: The Reckoning;GC;2002;Action;Virgin Interactive;0.08;0.02;0;0;0.1;70;13;7.6;7;"M;";;;
Ice Age 2: The Meltdown;GC;2006;Platform;Vivendi Games;0.15;0.04;0;0.01;0.19;67;9;;;"E10+;";;;
Ikaruga;GC;2003;Shooter;Atari;0.07;0.02;0;0;0.09;85;52;8.5;43;"E;";;;
I-Ninja;GC;2003;Platform;Namco Bandai Games;0.07;0.02;0;0;0.09;77;18;7.6;9;"T;";;;
Intellivision Lives!;GC;2004;Misc;Crave Entertainment;0.05;0.01;0;0;0.06;;;;;";";;;
James Bond 007: Agent Under Fire;GC;2002;Shooter;Electronic Arts;0.56;0.15;0;0.02;0.72;74;16;6.8;26;"T;";;;
James Bond 007: Everything or Nothing;GC;2004;Shooter;Electronic Arts;0.32;0.08;0;0.01;0.42;84;41;8.2;26;"T;";;;
James Bond 007: Nightfire;GC;2002;Shooter;Electronic Arts;0.6;0.16;0;0.02;0.78;80;17;8.5;47;"T;";;;
Jeremy McGrath Supercross World;GC;2002;Racing;Acclaim Entertainment;0.09;0.02;0;0;0.12;36;14;5.6;5;"E;";;;
Jikkyou Powerful Major League;GC;2006;Sports;Konami Digital Entertainment;0;0;0.04;0;0.04;;;;;";";;;
Jikkyou Powerful Pro Yakyuu 10;GC;2003;Sports;Konami Digital Entertainment;0;0;0.1;0;0.1;;;;;";";;;
Jikkyou Powerful Pro Yakyuu 11;GC;2004;Sports;Konami Digital Entertainment;0;0;0.09;0;0.1;;;;;";";;;
Jikkyou Powerful Pro Yakyuu 12;GC;2005;Sports;Konami Digital Entertainment;0;0;0.08;0;0.08;;;;;";";;;
Jikkyou Powerful Pro Yakyuu 12 Ketteiban;GC;2005;Sports;Konami Digital Entertainment;0;0;0.02;0;0.02;;;;;";";;;
Jikkyou Powerful Pro Yakyuu 9;GC;2002;Sports;Konami Digital Entertainment;0;0;0.11;0;0.12;;;;;";";;;
Jimmy Neutron: Boy Genius;GC;2002;Platform;THQ;0.07;0.02;0;0;0.09;42;4;5.1;7;"E;";;;
Kao the Kangaroo Round 2;GC;2005;Platform;JoWood Productions;0.01;0;0;0;0.02;57;7;;;"E;";;;
Karaoke Revolution Party;GC;2005;Misc;Konami Digital Entertainment;0.05;0.01;0;0;0.07;80;22;;;"E10+;";;;
Kelly Slaters Pro Surfer;GC;2002;Sports;Activision;0.05;0.01;0;0;0.06;80;15;;;"E;";;;
Killer7;GC;2005;Action;Capcom;0.12;0.03;0;0;0.15;74;57;8.5;66;"M;";;;
King Arthur;GC;2004;Action;Konami Digital Entertainment;0.03;0.01;0;0;0.04;60;14;;;"T;";;;
Kirby Air Ride;GC;2003;Racing;Nintendo;1.01;0.11;0.45;0.04;1.62;61;28;7.8;70;"E;";;;
Knockout Kings 2003;GC;2002;Sports;Electronic Arts;0.12;0.03;0;0;0.15;78;13;6.5;4;"T;";;;
Kumamon Bomber: Puzzle de Kumamon Taisou;GC;2005;Puzzle;Sega;0.32;0.08;0;0.01;0.42;;;;;";";;;
Legends of Wrestling;GC;2002;Fighting;Acclaim Entertainment;0.1;0.03;0;0;0.13;50;18;6.8;4;"T;";;;
Legends of Wrestling II;GC;2002;Fighting;Acclaim Entertainment;0.09;0.02;0;0;0.12;59;14;;;"T;";;;
LEGO Star Wars II: The Original Trilogy;GC;2006;Action;LucasArts;0.75;0.19;0;0.03;0.97;84;25;9.1;16;"E10+;";;;
LEGO Star Wars: The Video Game;GC;2005;Action;Eidos Interactive;1.09;0.28;0;0.04;1.41;;;;;";";;;
Lemony Snickets A Series of Unfortunate Events;GC;2004;Platform;Activision;0.2;0.05;0;0.01;0.26;;;;;";";;;
Looney Tunes: Back in Action;GC;2003;Platform;Warner Bros. Interactive Entertainment;0.13;0.03;0;0;0.17;64;6;5;4;"E;";;;
Lost Kingdoms;GC;2002;Role-Playing;Activision;0.1;0.02;0.04;0;0.17;72;22;8;15;"T;";;;
Lost Kingdoms II;GC;2003;Role-Playing;Activision;0.04;0.01;0;0;0.06;68;25;9.1;14;"T;";;;
Lotus Challenge;GC;2004;Racing;Ignition Entertainment;0.01;0;0;0;0.02;;;;;";";;;
Luigis Mansion;GC;2001;Action;Nintendo;2.38;0.67;0.46;0.1;3.6;78;34;8.6;162;"E;";;;
Madagascar;GC;2005;Platform;Activision;0.52;0.13;0;0.02;0.66;70;21;;;"E10+;";;;
Madden NFL 06;GC;2005;Sports;Electronic Arts;0.44;0.11;0;0.02;0.57;86;21;8.5;11;"E;";;;
Madden NFL 07;GC;2006;Sports;Electronic Arts;0.48;0.13;0;0.02;0.62;82;14;9.2;5;"E;";;;
Madden NFL 08;GC;2007;Sports;Electronic Arts;0.06;0.02;0;0;0.08;75;4;7;7;"E;";;;
Madden NFL 2002;GC;2001;Sports;Electronic Arts;0.47;0.12;0;0.02;0.61;89;12;7.5;4;"E;";;;
Madden NFL 2003;GC;2002;Sports;Electronic Arts;0.33;0.09;0;0.01;0.43;92;13;8.5;17;"E;";;;
Madden NFL 2004;GC;2003;Sports;Electronic Arts;0.4;0.1;0;0.01;0.51;94;19;7.7;17;"E;";;;
Madden NFL 2005;GC;2004;Sports;Electronic Arts;0.54;0.14;0;0.02;0.7;90;26;;;"E;";;;
Major League Baseball 2K6;GC;2006;Sports;Take-Two Interactive;0.13;0.03;0;0;0.17;66;8;;;"E;";;;
Mario Golf: Toadstool Tour;GC;2003;Sports;Nintendo;1.09;0.15;0.25;0.04;1.53;81;49;8;56;"E;";;;
Mario Kart: Double Dash!!;GC;2003;Racing;Nintendo;4.12;1.77;0.87;0.19;6.95;;;;;";";;;
Mario Party 4;GC;2002;Misc;Nintendo;1.13;0.36;0.92;0.07;2.47;70;26;7.5;76;"E;";;;
Mario Party 5;GC;2003;Misc;Nintendo;0.97;0.33;0.73;0.06;2.08;69;33;8.2;59;"E;";;;
Mario Party 6;GC;2004;Misc;Nintendo;0.9;0.11;0.6;0.05;1.65;71;33;7.9;53;"E;";;;
Mario Party 7;GC;2005;Misc;Nintendo;0.95;0.11;0.46;0.04;1.57;64;25;7.9;55;"E;";;;
Mario Power Tennis;GC;2004;Sports;Nintendo;0.58;0.16;0.46;0.03;1.22;80;43;8.5;48;"E;";;;
Mario Superstar Baseball;GC;2005;Sports;Nintendo;0.93;0.24;0.25;0.04;1.46;76;38;8.6;41;"E;";;;
Mark Davis Pro Bass Challenge;GC;2005;Sports;Natsume;0.01;0;0;0;0.01;;;;;"E;";;;
Marvel Nemesis: Rise of the Imperfects;GC;2005;Fighting;Electronic Arts;0.3;0.08;0;0.01;0.38;54;19;5.7;24;"T;";;;
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive;GC;2003;Misc;Acclaim Entertainment;0.17;0.04;0;0.01;0.22;;;;;";";;;
Mat Hoffmans Pro BMX 2;GC;2002;Sports;Activision;0.03;0.01;0;0;0.04;70;12;;;"T;";;;
MC Groovz Dance Craze;GC;2004;Misc;Mad Catz;0.15;0.04;0;0.01;0.2;42;8;6.8;9;"E;";;;
Medabots: Infinity;GC;2003;Role-Playing;Ubisoft;0.04;0.01;0;0;0.05;51;6;8;7;"E;";;;
Medal of Honor European Assault;GC;2005;Shooter;Electronic Arts;0.19;0.05;0;0.01;0.25;71;22;7.9;14;"T;";;;
Medal of Honor: Frontline;GC;2002;Shooter;Electronic Arts;0.46;0.12;0;0.02;0.59;80;16;7.9;16;"T;";;;
Medal of Honor: Rising Sun;GC;2003;Shooter;Electronic Arts;0.33;0.09;0;0.01;0.42;68;24;6.4;13;"T;";;;
Mega Man Anniversary Collection;GC;2004;Platform;Capcom;0.32;0.08;0;0.01;0.42;81;32;8.8;17;"E;";;;
Mega Man Network Transmission;GC;2003;Platform;Capcom;0.13;0.03;0;0;0.17;65;28;7.6;13;"E;";;;
Mega Man X Collection;GC;2006;Misc;Capcom;0.1;0.03;0;0;0.13;75;23;9.2;12;"E;";;;
Mega Man X: Command Mission;GC;2004;Role-Playing;Capcom;0.1;0.02;0;0;0.12;67;21;7.3;12;"E;";;;
Men in Black II: Alien Escape;GC;2003;Shooter;Infogrames;0.01;0;0;0;0.01;;;;;"T;";;;
Metal Arms: Glitch in the System;GC;2003;Shooter;Vivendi Games;0.08;0.02;0;0;0.1;83;30;8.9;20;"T;";;;
Metal Gear Solid: The Twin Snakes;GC;2004;Action;Konami Digital Entertainment;0.3;0.08;0.07;0.01;0.47;85;54;9.1;143;"M;";;;
Metroid Prime;GC;2002;Shooter;Nintendo;1.96;0.67;0.1;0.09;2.82;97;70;9.3;754;"T;";;;
Metroid Prime 2: Echoes;GC;2004;Shooter;Nintendo;0.87;0.35;0.07;0.04;1.33;92;60;8.8;281;"T;";;;
Midway Arcade Treasures;GC;2003;Misc;Midway Games;0.13;0.03;0;0;0.17;72;11;8.2;5;"T;";;;
Midway Arcade Treasures 2;GC;2004;Misc;Midway Games;0.13;0.03;0;0;0.16;74;21;;;"M;";;;
Midway Arcade Treasures 3;GC;2005;Misc;Midway Games;0.05;0.01;0;0;0.07;65;16;;;"E;";;;
Minority Report: Everybody Runs;GC;2002;Action;Activision;0.08;0.02;0;0;0.1;53;19;;;"T;";;;
Mission: Impossible - Operation Surma;GC;2004;Platform;Atari;0.01;0;0;0;0.02;64;9;;;"T;";;;
MLB SlugFest 20-03;GC;2002;Sports;Midway Games;0.11;0.03;0;0;0.15;80;10;7.5;4;"E;";;;
MLB SlugFest 20-04;GC;2003;Sports;Midway Games;0.03;0.01;0;0;0.04;76;14;;;"E;";;;
Momotarou Dentetsu 11;GC;2002;Misc;Hudson Soft;0;0;0.07;0;0.08;;;;;";";;;
Monopoly Party;GC;2002;Misc;Infogrames;0.1;0.03;0;0;0.13;;;;;";";;;
Monster 4x4: Masters of Metal;GC;2003;Racing;Ubisoft;0.04;0.01;0;0;0.05;49;11;;;"E;";;;
Monster House;GC;2006;Adventure;THQ;0.11;0.03;0;0;0.14;60;18;;;"E10+;";;;
Monster Jam: Maximum Destruction;GC;2002;Racing;Ubisoft;0.04;0.01;0;0;0.05;;;;;";";;;
Mortal Kombat: Deadly Alliance;GC;2002;Fighting;Midway Games;0.31;0.08;0;0.01;0.41;81;20;8.7;43;"M;";;;
Mortal Kombat: Deception;GC;2005;Fighting;Midway Games;0.09;0.02;0;0;0.11;77;14;8.9;15;"M;";;;
Muppets Party Cruise;GC;2003;Misc;TDK Mediactive;0.02;0;0;0;0.02;;;8;5;"E;";;;
MVP Baseball 2004;GC;2004;Sports;Electronic Arts;0.2;0.05;0;0.01;0.26;89;25;8.5;11;"E;";;;
MVP Baseball 2005;GC;2005;Sports;Electronic Arts;0.25;0.07;0;0.01;0.33;88;20;8.7;16;"E;";;;
MX SuperFly featuring Ricky Carmichael;GC;2002;Racing;THQ;0.07;0.02;0;0;0.09;;;;;";";;;
Mystic Heroes;GC;2002;Action;Tecmo Koei;0.03;0.01;0.04;0;0.09;67;13;8.5;26;"T;";;;
Namco Museum;GC;2002;Misc;Namco Bandai Games;0.48;0.13;0;0.02;0.63;62;10;;;"E;";;;
Namco Museum: 50th Anniversary;GC;2005;Misc;Namco Bandai Games;0.17;0.04;0;0.01;0.21;60;23;;;"E10+;";;;
Naruto: Clash of Ninja;GC;2003;Fighting;Tomy Corporation;0.53;0.14;0;0.02;0.68;72;21;8.1;20;"T;";;;
Naruto: Clash of Ninja (JP sales);GC;2003;Fighting;Tomy Corporation;0;0;0.21;0.01;0.21;;;;;";";;;
Naruto: Clash of Ninja 2;GC;2003;Fighting;Nintendo;0.44;0.12;0.45;0.03;1.04;74;22;8.9;39;"T;";;;
Naruto: Gekito Ninja Taisen! 3;GC;2004;Fighting;Tomy Corporation;0;0;0.43;0.01;0.44;;;;;";";;;
Naruto: Gekito Ninja Taisen! 4;GC;2005;Fighting;Tomy Corporation;0;0;0.32;0.01;0.33;;;;;";";;;
NASCAR 2005: Chase for the Cup;GC;2004;Racing;Electronic Arts;0.1;0.02;0;0;0.12;;;;;";";;;
NASCAR Thunder 2003;GC;2002;Racing;Electronic Arts;0.24;0.06;0;0.01;0.31;85;12;6.6;5;"E;";;;
NASCAR: Dirt to Daytona;GC;2002;Racing;Infogrames;0.07;0.02;0;0;0.09;85;8;7.3;7;"E;";;;
NBA 2K2;GC;2002;Sports;Sega;0.09;0.02;0;0;0.12;90;13;8;4;"E;";;;
NBA 2K3;GC;2002;Sports;Sega;0.12;0.03;0;0;0.16;84;11;6.3;4;"E;";;;
NBA Courtside 2002;GC;2002;Sports;Nintendo;0.19;0.05;0;0.01;0.25;71;18;7.4;7;"E;";;;
NBA Live 06;GC;2005;Sports;Electronic Arts;0.25;0.07;0;0.01;0.33;76;14;;;"E;";;;
NBA Live 2003;GC;2002;Sports;Electronic Arts;0.23;0.06;0;0.01;0.3;82;11;8.2;5;"E;";;;
NBA Live 2004;GC;2003;Sports;Electronic Arts;0.21;0.05;0;0.01;0.27;84;17;9;4;"E;";;;
NBA Live 2005;GC;2004;Sports;Electronic Arts;0.35;0.09;0;0.01;0.45;83;17;6.7;7;"E;";;;
NBA Street;GC;2002;Sports;Electronic Arts;0.33;0.09;0;0.01;0.42;88;15;8.6;7;"E;";;;
NBA Street V3;GC;2005;Sports;Electronic Arts;0.23;0.06;0;0.01;0.29;88;36;8.4;16;"E;";;;
NBA Street Vol. 2;GC;2003;Sports;Electronic Arts;0.41;0.11;0;0.01;0.54;88;16;8.1;7;"E;";;;
NCAA College Basketball 2K3;GC;2002;Sports;Sega;0.01;0;0;0;0.01;82;11;;;"E;";;;
NCAA College Football 2K3;GC;2002;Sports;Sega;0.05;0.01;0;0;0.07;70;7;;;"E;";;;
NCAA Football 2003;GC;2002;Sports;Electronic Arts;0.16;0.04;0;0.01;0.21;91;11;8.1;9;"E;";;;
NCAA Football 2004;GC;2003;Sports;Electronic Arts;0.12;0.03;0;0;0.15;89;16;8.1;8;"E;";;;
NCAA Football 2005;GC;2004;Sports;Electronic Arts;0.17;0.04;0;0.01;0.22;88;18;9;5;"E;";;;
Need for Speed Carbon;GC;2006;Racing;Electronic Arts;0.27;0.07;0;0.01;0.35;75;12;7.8;14;"E10+;";;;
Need for Speed Underground;GC;2003;Racing;Electronic Arts;0.69;0.48;0.01;0.03;1.21;83;24;8.8;46;"E;";;;
Need for Speed Underground 2;GC;2004;Racing;Electronic Arts;0.7;0.39;0.01;0.03;1.14;;;;;";";;;
Need for Speed: Hot Pursuit 2;GC;2002;Racing;Electronic Arts;0.68;0.09;0;0.02;0.8;68;16;8.3;15;"E;";;;
Need for Speed: Most Wanted;GC;2005;Racing;Electronic Arts;0.43;0.11;0;0.02;0.56;80;18;9.1;23;"T;";;;
NFL 2K3;GC;2002;Sports;Sega;0.17;0.04;0;0.01;0.22;92;24;8.3;15;"E;";;;
NFL Blitz 20-02;GC;2002;Sports;Midway Games;0.07;0.02;0;0;0.09;77;9;;;"E;";;;
NFL Blitz 20-03;GC;2002;Sports;Midway Games;0.11;0.03;0;0;0.14;72;11;;;"E;";;;
NFL Blitz Pro;GC;2003;Sports;Midway Games;0.02;0;0;0;0.02;71;9;;;"E;";;;
NFL Quarterback Club 2002;GC;2001;Sports;Acclaim Entertainment;0.04;0.01;0;0;0.05;53;10;;;"E;";;;
NFL Street;GC;2004;Sports;Electronic Arts;0.27;0.07;0;0.01;0.35;81;30;8;4;"E;";;;
NFL Street 2;GC;2004;Sports;Electronic Arts;0.15;0.04;0;0.01;0.2;77;24;;;"E;";;;
NHL 06;GC;2005;Sports;Electronic Arts;0.06;0.02;0;0;0.08;78;18;9.3;7;"E10+;";;;
NHL 2003;GC;2002;Sports;Electronic Arts;0.1;0.03;0;0;0.13;79;13;8.3;4;"E;";;;
NHL 2004;GC;2003;Sports;Electronic Arts;0.08;0.02;0;0;0.1;85;18;8.4;7;"E;";;;
NHL 2005;GC;2004;Sports;Electronic Arts;0.05;0.01;0;0;0.07;75;18;5.6;5;"E;";;;
NHL 2K3;GC;2002;Sports;Sega;0.01;0;0;0;0.02;89;11;8;6;"E;";;;
NHL Hitz 20-02;GC;2001;Sports;Midway Games;0.16;0.04;0;0.01;0.21;79;13;8.7;7;"E;";;;
NHL Hitz 20-03;GC;2002;Sports;Midway Games;0.06;0.02;0;0;0.08;82;12;8.4;5;"E;";;;
NHL Hitz Pro;GC;2003;Sports;Midway Games;0.03;0.01;0;0;0.04;81;15;7.8;5;"E;";;;
Nickelodeon Party Blast;GC;2002;Misc;Atari;0.19;0.05;0;0.01;0.25;;;;;"E;";;;
Nicktoons: Battle for Volcano Island;GC;2006;Action;THQ;0.22;0.06;0;0.01;0.29;;;7;4;"E;";;;
Nicktoons: Unite!;GC;2005;Adventure;THQ;0.27;0.07;0;0.01;0.35;;;;;";";;;
Nintendo Puzzle Collection;GC;2003;Puzzle;Nintendo;0;0;0.13;0;0.13;;;;;";";;;
Odama;GC;2006;Misc;Nintendo;0.07;0.02;0.02;0;0.11;62;42;8;17;"E10+;";;;
Open Season;GC;2006;Platform;Ubisoft;0.13;0.03;0;0;0.17;59;6;;;"E10+;";;;
Outlaw Golf;GC;2002;Sports;TDK Mediactive;0.06;0.02;0;0;0.08;69;14;;;"T;";;;
Over the Hedge;GC;2006;Platform;Activision;0.27;0.07;0;0.01;0.35;61;21;9.3;6;"E10+;";;;
P.N.03 - Product Number Three;GC;2003;Shooter;Capcom;0.06;0.02;0;0;0.08;;;;;";";;;
Pac-Man Fever;GC;2001;Misc;Sony Computer Entertainment;0.21;0.06;0;0.01;0.28;54;10;6.3;6;"E;";;;
Pac-Man Players Choice Bundle;GC;2003;Misc;Namco Bandai Games;0.48;0.12;0;0.02;0.62;;;;;";";;;
Pac-Man World 2;GC;2002;Action;Nintendo;0.28;0.07;0;0.01;0.37;74;18;8.3;19;"E;";;;
Pac-Man World 3;GC;2005;Platform;Namco Bandai Games;0.07;0.02;0;0;0.09;66;17;7.3;10;"E;";;;
Pac-Man World Rally;GC;2006;Racing;Namco Bandai Games;0.06;0.02;0;0;0.08;57;10;7.8;4;"E;";;;
Paper Mario: The Thousand-Year Door;GC;2004;Role-Playing;Nintendo;1.48;0.25;0.46;0.06;2.25;87;55;9.4;311;"E;";;;
Peter Jacksons King Kong: The Official Game of the Movie;GC;2005;Action;Ubisoft;0.19;0.05;0;0.01;0.24;81;30;8.3;8;"T;";;;
Phantasy Star Online Episode I & II;GC;2002;Role-Playing;Infogrames;0.23;0.06;0.16;0.01;0.45;;;;;";";;;
Phantasy Star Online Episode I & II Plus;GC;2003;Role-Playing;Sega;0.04;0.01;0;0;0.05;;;;;";";;;
Phantasy Star Online Episode III: C.A.R.D. Revolution;GC;2003;Role-Playing;Sega;0.06;0.02;0;0;0.08;71;24;8.2;13;"T;";;;
Piglets Big Game;GC;2003;Platform;Gotham Games;0.04;0.01;0;0;0.05;70;4;8;5;"E;";;;
Pikmin;GC;2001;Strategy;Nintendo;0.78;0.25;0.56;0.04;1.63;89;39;8.7;123;"E;";;;
Pikmin 2;GC;2004;Strategy;Nintendo;0.48;0.13;0.56;0.03;1.2;90;54;9.1;140;"E;";;;
Pinball Hall of Fame: The Gottlieb Collection;GC;2005;Misc;Crave Entertainment;0.04;0.01;0;0;0.05;;;;;";";;;
Pitfall: The Lost Expedition;GC;2004;Platform;Activision;0.06;0.02;0;0;0.08;73;25;8.6;8;"E;";;;
Pok\xc3\xa9mon Colosseum;GC;2003;Role-Playing;Nintendo;1.21;0.57;0.7;0.07;2.54;73;37;8;92;"E;";;;
Pokemon Box: Ruby & Sapphire;GC;2003;Misc;Nintendo;0;0;0.27;0.01;0.28;;;;;";";;;
Pokemon Channel;GC;2003;Adventure;Nintendo;0.24;0.06;0.07;0.01;0.38;55;21;5.7;23;"E;";;;
Pokemon XD: Gale of Darkness;GC;2005;Role-Playing;Nintendo;0.71;0.19;0.31;0.03;1.25;64;27;8.2;78;"E;";;;
Power Rangers: Dino Thunder;GC;2004;Action;THQ;0.31;0.08;0;0.01;0.4;49;6;;;"E;";;;
Prince of Persia: The Sands of Time;GC;2003;Action;Ubisoft;0.25;0.06;0;0.01;0.32;92;33;8.4;41;"T;";;;
Prince of Persia: The Two Thrones;GC;2005;Action;Ubisoft;0.11;0.03;0;0;0.15;84;34;8.1;22;"M;";;;
Prince of Persia: Warrior Within;GC;2004;Action;Ubisoft;0.15;0.04;0;0.01;0.2;83;31;8.6;21;"M;";;;
Pro Rally;GC;2002;Racing;Ubisoft;0.01;0;0;0;0.02;64;11;;;"E;";;;
Puyo Pop Fever;GC;2004;Puzzle;Sega;0.01;0;0;0;0.01;72;18;;;"E;";;;
R: Racing Evolution;GC;2003;Racing;Namco Bandai Games;0.06;0.02;0;0;0.08;67;35;;;"T;";;;
Rally Championship;GC;2003;Racing;SCi;0.01;0;0;0;0.01;63;8;;;"E;";;;
Rampage: Total Destruction;GC;2006;Action;Midway Games;0.31;0.08;0;0.01;0.4;57;24;6.7;6;"E10+;";;;
Ratatouille;GC;2007;Action;THQ;0.11;0.03;0;0;0.14;60;7;5.6;7;"E;";;;
Rave Master;GC;2002;Fighting;Konami Digital Entertainment;0;0;0.05;0;0.05;60;15;6.3;4;"T;";;;
Rayman 3: Hoodlum Havoc;GC;2003;Platform;Ubisoft;0.05;0.01;0;0;0.07;77;24;8.4;22;"E;";;;
Rayman Arena;GC;2002;Racing;Ubisoft;0.11;0.03;0;0;0.14;60;10;7.2;6;"E;";;;
Red Faction II;GC;2003;Shooter;THQ;0.03;0.01;0;0;0.03;79;12;7.3;4;"M;";;;
RedCard 20-03;GC;2002;Sports;Midway Games;0.02;0;0;0;0.02;71;11;7.4;5;"E;";;;
Reign of Fire;GC;2002;Shooter;BAM! Entertainment;0.08;0.02;0;0;0.11;54;9;5.9;7;"T;";;;
Resident Evil - Code: Veronica X;GC;2003;Action;Capcom;0.05;0.01;0;0;0.06;62;16;8.5;32;"M;";;;
Resident Evil (Remake);GC;2002;Action;Capcom;0.63;0.38;0.35;0.05;1.42;;;;;";";;;
Resident Evil 2;GC;2003;Action;Capcom;0.04;0.01;0;0;0.06;59;15;8.6;32;"M;";;;
Resident Evil 3: Nemesis;GC;2003;Action;Capcom;0.06;0.02;0;0;0.08;62;14;8.3;44;"M;";;;
Resident Evil 4;GC;2005;Action;Capcom;0.98;0.42;0.22;0.06;1.69;96;82;9.4;774;"M;";;;
Resident Evil Zero;GC;2002;Action;Capcom;0.54;0.27;0.45;0.04;1.29;;;;;";";;;
Ribbit King;GC;2003;Sports;Atari;0.04;0.01;0;0;0.05;60;11;;;"E;";;;
Road Trip: The Arcade Edition;GC;2002;Racing;Zoo Digital Publishing;0.02;0;0;0;0.02;;;;;"E;";;;
RoadKill;GC;2003;Action;Midway Games;0.02;0.01;0;0;0.03;64;12;;;"M;";;;
Robotech: Battlecry;GC;2002;Shooter;TDK Mediactive;0.13;0.03;0;0;0.16;74;11;8.4;5;"T;";;;
Robots;GC;2005;Action;Vivendi Games;0.12;0.03;0;0;0.16;56;4;;;"E;";;;
Rocket Power: Beach Bandits;GC;2002;Platform;THQ;0.18;0.05;0;0.01;0.23;53;6;;;"E;";;;
Rocky;GC;2002;Fighting;Rage Software;0.07;0.02;0;0;0.09;74;17;7.3;4;"T;";;;
Rogue Ops;GC;2003;Action;Kemco;0.04;0.01;0;0;0.05;65;21;;;"M;";;;
Rugrats: Royal Ransom;GC;2002;Platform;THQ;0.13;0.03;0;0;0.17;;;6.7;6;"E;";;;
Samurai Jack: The Shadow of Aku;GC;2004;Action;Sega;0.01;0;0;0;0.02;59;17;;;"T;";;;
Scaler;GC;2004;Platform;Take-Two Interactive;0.03;0.01;0;0;0.04;69;11;7.3;8;"E;";;;
Scooby-Doo! Mystery Mayhem;GC;2004;Action;THQ;0.17;0.04;0;0.01;0.22;;;;;";";;;
Scooby-Doo! Night of 100 Frights;GC;2002;Platform;THQ;0.23;0.06;0;0.01;0.3;;;;;";";;;
Scooby-Doo! Unmasked;GC;2005;Platform;THQ;0.12;0.03;0;0;0.15;;;;;";";;;
SD Gundam: Gashapon Wars;GC;2005;Strategy;Namco Bandai Games;0;0;0.07;0;0.07;;;;;";";;;
SeaWorld Adventure Parks: Shamus Deep Sea Adventure;GC;2005;Adventure;Activision;0.07;0.02;0;0;0.09;;;;;";";;;
Second Sight;GC;2004;Adventure;Codemasters;0.04;0.01;0;0;0.05;77;34;8.5;13;"T;";;;
Sega Soccer Slam;GC;2002;Sports;Sega;0.05;0.01;0;0;0.07;84;22;7.7;7;"E;";;;
Serious Sam: Next Encounter;GC;2004;Shooter;Global Star;0.02;0;0;0;0.02;69;18;8.4;9;"M;";;;
Shadow The Hedgehog;GC;2005;Platform;Sega;0.76;0.2;0;0.03;0.99;51;22;6.5;121;"E10+;";;;
Shaman King: Soul Fight;GC;2003;Platform;Namco Bandai Games;0;0;0.05;0;0.05;;;;;";";;;
Shark Tale;GC;2004;Action;Activision;0.23;0.06;0;0.01;0.3;69;23;;;"E;";;;
Shonen Jumps One Piece: Grand Adventure;GC;2006;Fighting;Namco Bandai Games;0.03;0.01;0;0;0.04;;;;;";";;;
Shonen Jumps One Piece: Grand Battle;GC;2005;Fighting;Namco Bandai Games;0.05;0.01;0;0;0.06;;;;;";";;;
Shonen Jumps One Piece: Pirates Carnival;GC;2005;Misc;Namco Bandai Games;0.06;0.02;0;0;0.08;;;;;";";;;
Shrek 2;GC;2004;Platform;Activision;0.73;0.26;0.01;0.03;1.02;70;25;6.7;15;"E;";;;
Shrek Extra Large;GC;2002;Platform;TDK Mediactive;0.13;0.03;0;0;0.17;36;6;5.6;23;"T;";;;
Shrek Smash n Crash Racing;GC;2006;Racing;Activision;0.1;0.03;0;0;0.13;;;3.1;7;"E;";;;
Shrek Super Party;GC;2003;Misc;TDK Mediactive;0.04;0.01;0;0;0.05;40;6;7.3;7;"E;";;;
Shrek SuperSlam;GC;2005;Action;Activision;0.17;0.04;0;0.01;0.22;70;11;7.7;7;"E10+;";;;
Skies of Arcadia Legends;GC;2002;Role-Playing;Atari;0.17;0.04;0;0.01;0.22;84;31;9.2;95;"T;";;;
Smashing Drive;GC;2002;Racing;Namco Bandai Games;0.06;0.01;0;0;0.07;47;18;5.2;6;"T;";;;
Smugglers Run: Warzones;GC;2002;Misc;Take-Two Interactive;0.06;0.02;0;0;0.08;79;23;6.9;11;"T;";;;
Sonic Adventure 2 Battle;GC;2001;Platform;Sega;1.7;0.59;0.21;0.07;2.56;73;28;8.3;181;"E;";;;
Sonic Adventure DX: Directors Cut;GC;2003;Platform;Sega;0.87;0.3;0.06;0.03;1.27;57;27;7.9;140;"E;";;;
Sonic Heroes;GC;2003;Platform;Sega;1.05;0.44;0.06;0.04;1.6;72;49;7.8;126;"E;";;;
Sonic Mega Collection;GC;2002;Misc;Infogrames;1.47;0.48;0.05;0.06;2.05;75;26;8.8;41;"E;";;;
Sonic Riders;GC;2006;Racing;Sega;0.71;0.18;0;0.03;0.92;59;32;8;46;"E;";;;
SoulCalibur II;GC;2003;Fighting;Namco Bandai Games;0.99;0.32;0.11;0.08;1.5;93;45;9;137;"T;";;;
Space Raiders;GC;2003;Shooter;Taito;0.01;0;0;0;0.01;40;8;;;"T;";;;
